num_item_id,definition,type,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
93,tigre,word,animals,0.01,0,0,0.18,0.15,0.12,0.27,0.24,0.23,0.4,0.47,0.42,0.65,0.57,0.52
94,tortue,word,animals,0.04,0,0,0.36,0.22,0.34,0.49,0.51,0.56,0.5,0.69,0.65,0.71,0.83,0.69
95,vache,word,animals,0.09,0.08,0,0.36,0.4,0.54,0.54,0.58,0.66,0.69,0.72,0.77,0.82,0.91,0.9
96,zèbre,word,animals,0.01,0,0,0.18,0.05,0.05,0.2,0.3,0.22,0.31,0.34,0.35,0.35,0.51,0.24
97,balle,word,toys,0.12,0.12,0,0.18,0.42,0.41,0.51,0.56,0.62,0.62,0.59,0.69,0.79,0.66,0.72
98,ballon,word,toys,0.19,0.38,0,0.82,0.6,0.71,0.8,0.73,0.82,0.88,0.81,0.92,0.91,1,1
99,bulles,word,toys,0.01,0.04,0,0,0.12,0.16,0.2,0.3,0.37,0.48,0.28,0.46,0.5,0.66,0.62
100,cadeau,word,toys,0.01,0.04,0,0.27,0.32,0.21,0.46,0.35,0.56,0.74,0.66,0.69,0.59,0.83,0.9
101,colle,word,toys,0.01,0,0,0,0.05,0.09,0.05,0.08,0.21,0.29,0.12,0.27,0.41,0.37,0.31
102,craie,word,toys,0.01,0,0,0,0.05,0.04,0.12,0.14,0.15,0.1,0.19,0.19,0.18,0.2,0.38
103,crayon,word,toys,0.03,0.08,0,0.36,0.38,0.43,0.54,0.42,0.61,0.74,0.66,0.81,0.88,0.91,0.93
104,cube,word,toys,0.01,0,0,0.18,0.12,0.14,0.17,0.13,0.26,0.33,0.31,0.31,0.32,0.51,0.48
105,feutre,word,toys,0.01,0,0,0,0.05,0.09,0.17,0.15,0.22,0.38,0.19,0.27,0.35,0.4,0.62
106,histoire,word,toys,0.03,0.04,0,0.09,0.05,0.11,0.12,0.21,0.31,0.38,0.44,0.46,0.65,0.69,0.62
107,jeu,word,toys,0.03,0,0,0.09,0.2,0.14,0.22,0.2,0.33,0.5,0.47,0.31,0.47,0.69,0.66
108,jouet,word,toys,0.03,0,0,0.18,0.22,0.2,0.24,0.31,0.47,0.67,0.56,0.54,0.65,0.91,0.72
109,livre,word,toys,0.04,0.08,0,0.64,0.38,0.45,0.56,0.49,0.67,0.86,0.78,0.85,0.94,0.97,0.97
110,pâte à modeler,word,toys,0,0,0,0.09,0,0.05,0.1,0.21,0.22,0.29,0.31,0.46,0.32,0.43,0.52
111,poupée,word,toys,0.04,0.19,0,0.45,0.42,0.43,0.54,0.38,0.52,0.67,0.44,0.77,0.76,0.86,0.69
112,puzzle,word,toys,0,0,0,0.18,0.02,0.09,0.17,0.15,0.22,0.24,0.31,0.27,0.32,0.6,0.41
113,raquette,word,toys,0,0,0,0,0.05,0.05,0.07,0.13,0.14,0.17,0.16,0.27,0.29,0.31,0.17
114,stylo,word,toys,0.03,0.08,0,0.18,0.22,0.25,0.15,0.17,0.28,0.33,0.38,0.38,0.56,0.43,0.66
115,basket,word,clothing,0.03,0,0,0.18,0.05,0.11,0.22,0.31,0.25,0.31,0.28,0.42,0.38,0.6,0.55
116,bavoir,word,clothing,0.04,0.04,0,0.18,0.38,0.38,0.22,0.45,0.49,0.6,0.59,0.58,0.65,0.63,0.69
117,body,word,clothing,0.04,0.12,0,0.55,0.2,0.27,0.49,0.44,0.46,0.52,0.44,0.54,0.5,0.6,0.55
118,bottes,word,clothing,0.01,0.04,0,0.27,0.28,0.29,0.34,0.38,0.57,0.67,0.56,0.77,0.79,0.86,0.83
119,boutons,word,clothing,0.03,0.04,0,0.45,0.35,0.41,0.39,0.38,0.51,0.69,0.53,0.73,0.71,0.86,0.72
120,ceinture,word,clothing,0.03,0,0,0,0.05,0.05,0.12,0.25,0.2,0.33,0.12,0.15,0.32,0.46,0.38
121,chapeau,word,clothing,0.15,0.19,0,0.82,0.48,0.57,0.68,0.68,0.75,0.93,0.72,0.85,0.82,0.83,0.97
122,chaussettes,word,clothing,0.24,0.35,0,0.73,0.55,0.66,0.8,0.76,0.75,0.9,0.91,0.96,0.94,0.97,1
123,chausson,word,clothing,0.12,0.12,0,0.64,0.52,0.57,0.66,0.61,0.72,0.81,0.78,0.92,0.94,0.94,0.97
124,chaussure,word,clothing,0.22,0.38,0,0.82,0.62,0.71,0.83,0.63,0.83,0.98,0.91,0.96,0.97,0.97,0.97
125,chemise,word,clothing,0,0,0,0,0.1,0.11,0.2,0.15,0.23,0.45,0.38,0.5,0.5,0.71,0.52
126,collants,word,clothing,0.01,0.04,0,0.36,0.1,0.16,0.2,0.21,0.27,0.38,0.28,0.42,0.32,0.46,0.55
127,collier,word,clothing,0.01,0.04,0,0.45,0.15,0.23,0.22,0.14,0.33,0.4,0.25,0.42,0.41,0.69,0.76
128,combinaison de ski,word,clothing,0.03,0,0,0,0,0,0,0.18,0.06,0.05,0.09,0,0.03,0.06,0.17
129,couche,word,clothing,0.07,0.12,0,0.64,0.5,0.57,0.63,0.61,0.77,0.81,0.78,0.92,0.97,0.89,0.97
130,culotte,word,clothing,0.01,0.08,0,0.09,0.28,0.3,0.44,0.41,0.51,0.67,0.5,0.65,0.82,0.91,1
131,écharpe,word,clothing,0.01,0,0,0,0.18,0.16,0.2,0.27,0.28,0.33,0.28,0.42,0.47,0.66,0.69
132,gants,word,clothing,0.01,0,0,0.36,0.35,0.27,0.37,0.24,0.38,0.62,0.5,0.62,0.74,0.77,0.76
133,grenouillère,word,clothing,0,0,0,0,0,0.04,0,0.03,0.05,0.02,0.03,0.12,0,0.03,0.07
134,jeans,word,clothing,0.01,0,0,0,0.05,0.07,0.07,0.28,0.16,0.29,0.12,0.19,0.24,0.29,0.34
135,manteau,word,clothing,0.03,0,0,0.36,0.32,0.32,0.44,0.39,0.42,0.6,0.59,0.77,0.68,0.77,0.76
136,moufles,word,clothing,0,0,0,0.09,0.05,0.02,0.02,0.15,0.12,0.05,0.12,0.08,0.15,0.14,0.21
137,pantalon,word,clothing,0.03,0.12,0,0.36,0.42,0.46,0.61,0.48,0.64,0.79,0.78,0.88,0.85,0.97,0.97
138,perles,word,clothing,0,0,0,0.09,0,0.05,0.02,0.08,0.13,0.14,0.16,0.04,0.21,0.23,0.31
139,pull,word,clothing,0.04,0,0,0.36,0.28,0.23,0.34,0.42,0.49,0.62,0.62,0.69,0.71,0.86,0.86
140,pyjama,word,clothing,0.04,0.04,0,0.55,0.28,0.41,0.49,0.44,0.57,0.69,0.75,0.88,0.88,0.91,0.97
141,robe,word,clothing,0.01,0.08,0,0.36,0.1,0.11,0.24,0.18,0.38,0.5,0.38,0.46,0.56,0.74,0.72
142,salopette,word,clothing,0,0,0,0.27,0.05,0.07,0.17,0.2,0.18,0.36,0.44,0.19,0.56,0.6,0.66
143,short,word,clothing,0.01,0,0,0,0.02,0.04,0.15,0.15,0.22,0.5,0.28,0.42,0.5,0.71,0.69
144,sweat,word,clothing,0,0,0,0,0,0.04,0.02,0.13,0.05,0.14,0.06,0.04,0.18,0.23,0.24
145,tee-shirt,word,clothing,0.01,0,0,0,0.08,0.05,0.15,0.23,0.23,0.45,0.31,0.42,0.5,0.74,0.52
146,veste,word,clothing,0.01,0,0,0.09,0.15,0.11,0.12,0.21,0.29,0.24,0.34,0.46,0.5,0.66,0.59
147,arbre,word,outside,0.01,0,0,0.27,0.18,0.16,0.27,0.34,0.38,0.57,0.5,0.58,0.71,0.83,0.76
148,arrosoir,word,outside,0,0,0,0.09,0.08,0.09,0.24,0.2,0.28,0.48,0.41,0.38,0.62,0.69,0.66
149,bac à sable,word,outside,0.01,0,0,0,0,0,0.05,0.08,0.15,0.12,0.09,0.15,0.18,0.37,0.31
150,balançoire,word,outside,0.01,0.04,0,0.18,0.08,0.2,0.41,0.23,0.39,0.5,0.41,0.58,0.62,0.77,0.69
151,baton,word,outside,0,0,0,0.36,0.18,0.12,0.34,0.32,0.32,0.45,0.34,0.5,0.56,0.71,0.59
152,bonhomme de neige,word,outside,0.01,0,0,0,0,0.02,0.2,0.2,0.18,0.26,0.41,0.27,0.47,0.6,0.41
153,caillou,word,outside,0.03,0.15,0,0.64,0.25,0.34,0.51,0.42,0.58,0.74,0.72,0.73,0.76,0.91,0.83
154,ciel,word,outside,0.01,0.04,0,0.18,0.15,0.12,0.29,0.23,0.27,0.55,0.44,0.54,0.59,0.77,0.66
155,drapeau,word,outside,0.01,0,0,0,0.02,0,0.1,0.21,0.11,0.14,0.16,0.19,0.12,0.34,0.31
156,eau,word,outside,0.06,0.23,0,0.64,0.52,0.57,0.76,0.61,0.79,0.93,0.78,0.85,0.94,1,1
157,échelle,word,outside,0.01,0,0,0.09,0.05,0.02,0.15,0.17,0.18,0.26,0.25,0.31,0.44,0.57,0.48
