"num_item_id","definition","type","category","8","9","11","12","13","14","15","16"
351,"petit/e","word","descriptive_words",0,0,0,0,0,0,0,0
352,"propre","word","descriptive_words",0,0,0,0,0,0,0,0
353,"rouge","word","descriptive_words",0,0,0,0,0.01,0,0,0
354,"sale","word","descriptive_words",0,0,0,0,0.01,0,0,0.2
355,"sec/che","word","descriptive_words",0,0,0,0,0,0,0,0
356,"sombre","word","descriptive_words",0,0,0,0,0,0,0,0
357,"tendre","word","descriptive_words",0,0,0,0,0,0,0,0
358,"vide","word","descriptive_words",0,0,0,0,0,0,0,0
359,"vieux/vieille","word","descriptive_words",0,0,0,0,0,0,0,0
360,"vilain/e","word","descriptive_words",0.02,0,0,0.12,0.07,0,0,0.2
361,"vite","word","descriptive_words",0,0,0,0,0.02,0,0,0
362,"aider","word","action_words",0,0,0,0,0,0,0,0
363,"aimer","word","action_words",0,0,0,0,0,0,0,0
364,"aller","word","action_words",0,0,0,0,0,0,0,0
365,"apporter","word","action_words",0,0,0,0,0.01,0.04,0,0
366,"arrêter","word","action_words",0,0,0,0,0,0.04,0,0.2
367,"avoir sommeil","word","action_words",0,0,0,0,0,0,0,0
368,"balancer","word","action_words",0,0,0,0,0,0,0,0
369,"boire","word","action_words",0,0,0,0,0.01,0,0,0
370,"casser","word","action_words",0,0,0,0,0.01,0,0,0
371,"chanter","word","action_words",0,0,0,0,0,0,0,0
372,"chatouiller","word","action_words",0,0,0,0,0,0,0,0.2
373,"conduire","word","action_words",0,0,0,0,0,0,0,0
374,"courir","word","action_words",0,0,0,0,0,0,0,0
375,"danser","word","action_words",0,0,0,0,0.01,0,0,0.2
376,"dessiner","word","action_words",0,0,0,0,0,0,0,0.2
377,"dire","word","action_words",0,0,0,0,0,0,0,0
378,"donner","word","action_words",0,0,0,0,0.01,0,0,0
379,"donner un coup de pied","word","action_words",0,0,0,0,0,0,0,0
380,"dormir","word","action_words",0,0,0,0,0,0,0,0.2
381,"éclabousser","word","action_words",0,0,0,0,0,0,0,0
382,"écrire","word","action_words",0,0,0,0,0,0,0,0
383,"essuyer","word","action_words",0,0,0,0,0,0,0,0
384,"faire du vélo/de la moto","word","action_words",0,0,0,0,0,0,0,0
385,"faire un bisou","word","action_words",0,0,0,0,0.01,0,0,0.2
386,"fermer","word","action_words",0,0,0,0,0.01,0,0,0
387,"finir","word","action_words",0,0,0,0,0,0,0,0
388,"jeter","word","action_words",0,0,0,0,0,0,0,0
389,"jouer","word","action_words",0,0,0,0,0,0,0,0
390,"laver","word","action_words",0,0,0,0,0,0,0,0
391,"lire","word","action_words",0,0,0,0,0,0,0,0
392,"manger","word","action_words",0,0,0,0,0.02,0,0,0.2
393,"marcher","word","action_words",0,0,0,0,0,0,0,0
394,"mettre","word","action_words",0,0,0,0,0,0,0,0
395,"montrer","word","action_words",0,0,0,0,0,0,0,0
396,"mordre","word","action_words",0,0,0,0,0.01,0,0,0
397,"nager","word","action_words",0,0,0,0,0,0,0,0
398,"nettoyer","word","action_words",0,0,0,0,0,0,0,0
399,"nourrir","word","action_words",0,0,0,0,0,0,0,0
400,"ouvrir","word","action_words",0,0,0,0,0,0,0,0
401,"pleurer","word","action_words",0,0,0,0,0,0,0,0
402,"pousser","word","action_words",0,0,0,0,0,0,0,0
403,"prendre","word","action_words",0,0,0,0,0,0,0,0
404,"prendre dans ses bras","word","action_words",0,0,0,0,0.01,0,0,0
405,"recevoir","word","action_words",0,0,0,0,0,0,0,0
406,"regarder","word","action_words",0,0,0,0,0.03,0.04,0,0.2
407,"sauter","word","action_words",0,0,0,0,0,0,0,0
408,"se cogner","word","action_words",0,0,0,0,0,0,0,0.2
409,"se dépêcher","word","action_words",0,0,0,0,0,0,0,0
410,"souffler","word","action_words",0,0,0,0,0.01,0.04,0,0
411,"sourire","word","action_words",0,0,0,0,0,0,0,0
412,"taper","word","action_words",0,0,0,0,0.01,0,0,0
413,"tirer","word","action_words",0,0,0,0,0,0,0,0
